log10_accretion_rate abundances-ratio HeH-ratio
-9.700593050130958517e+00 -1.709473748268113269e-01 -3.794168983494845826e-02
-9.648315806563800834e+00 -7.055491454185487399e-01 1.780028384224209559e-02
-9.694824330265786827e+00 -6.258057460477641776e-01 4.381575908007416531e-02
-9.636419428718149049e+00 -6.949678358909316955e-01 1.385648806685697287e-01
-9.673382939501960820e+00 -3.984713099699952465e-01 -1.232111339098572456e-01
-9.697138822596203411e+00 -5.999721775074173813e-01 -3.698548653562562238e-01
-9.691171018367588985e+00 -4.648391891116911978e-01 1.392487008584659125e-01
-9.659541519066035420e+00 -5.929493902074280953e-01 -3.142685317128848799e-02
-9.661959503631392110e+00 -5.989694081482701549e-01 1.120727017693365773e-01
-9.556838629135743446e+00 -2.065246374762317316e-01 -2.661799060553420027e-02
-9.586076790905897482e+00 -5.931243592070529758e-01 -1.786286260553269223e+00
-9.726671392704039576e+00 -2.904870021149177362e-01 -2.046696007535810657e-01
-9.691906242348364842e+00 -6.400311675138841139e-01 1.511201569873832917e-01
-9.612647828742815648e+00 -6.173286871215042382e-01 -3.441340613417326333e-02
-9.648232075645802652e+00 -6.216096248573546035e-01 7.997230762574414342e-02
-9.636079508843508279e+00 -2.791852298455808068e-01 8.745645294677292791e-03
-9.661665067384763717e+00 -5.518305068405577885e-01 -2.848546466181362327e-02
-9.572390802261775633e+00 -5.360379283478517998e-01 2.201936420189268273e-02
-9.707180019040684726e+00 -4.645034979797157959e-01 3.682355577675128222e-03
-9.693145320481734828e+00 -6.436780010028710919e-01 7.614635390278234883e-02
-9.681751190855068856e+00 -4.248477962614840564e-01 3.281663410621366017e-02
-9.671794773992331784e+00 -3.249768098753440526e-01 1.710083006762396218e-01
-9.688543115618122314e+00 -4.540232113861790708e-01 -3.622096991240607994e-02
-9.685116471844283481e+00 -7.542389785873742092e-01 5.407561945121548697e-02
-9.693299548325423842e+00 -5.405663770024897730e-01 8.270194193161174712e-02
-9.671074811440028896e+00 -5.279325906354310760e-01 1.176863729841639422e-01
-9.686085148778964538e+00 -5.660108321007228938e-01 2.189200022969405024e-02
-9.686163605993682424e+00 -4.777022853771555333e-01 -5.393548287540378405e-03
-9.581400433060311528e+00 -5.905108903399072240e-01 -1.132509001025924084e-02
-9.709931186119744595e+00 -4.062491822227536353e-01 7.198439104894600871e-03
-9.721819271663521889e+00 -3.742280122952434951e-01 1.301580747251261383e-01
-9.678910296299431337e+00 -5.717061347402383475e-01 2.166995939708965535e-01
-9.625378677197048205e+00 -5.695276230321559829e-01 -3.976331608876586959e-02
-9.666519635831964052e+00 -5.168093216261624434e-01 7.733428709248202360e-03
-9.678752866889752227e+00 -4.608678783169164461e-01 5.891959323728704345e-02
-9.660312656945940546e+00 -6.658865906744328989e-01 5.310604069224658663e-02
-9.574026837771578258e+00 -5.488971751165356849e-01 -4.927839410202654591e-01
-9.730642229269951926e+00 -2.967144968306163477e-01 -1.001875412253368514e-01
-9.645682608801100955e+00 -4.560482386206254901e-01 1.089577213547519574e-01
-9.650619515717291819e+00 -5.684859763248120146e-01 1.664934515328980458e-01
-9.690719608157943199e+00 -5.957898300908484046e-01 1.050558841273259575e-01
-9.635526287210959495e+00 -6.213721466192492215e-01 5.371578525357949274e-02
-9.634729633858727382e+00 -3.835020138091644881e-01 1.335529297661263159e-01
-9.621683744559840434e+00 -5.621147075941639315e-01 1.457610076826397205e-01
-9.635580711194032588e+00 -6.659610709045997723e-01 1.622541206799748559e-01
-9.684117459780908987e+00 -5.018454550942141879e-01 -4.189291314999349369e-01
-9.644659701886999059e+00 -5.307592116881121314e-01 1.455067270755292519e-01
-9.640130627260711904e+00 -5.337155224796359398e-01 -6.687688130552305044e-02
-9.662369428320928932e+00 -5.196287243786610333e-01 -2.215158463201245542e-01
-9.636073644117201908e+00 -3.763637478786865387e-01 -1.449169149842401971e-01
-9.711245369664187166e+00 -6.664576833839634951e-01 2.796642086876412886e-02
-9.653935037431104149e+00 -6.374661383564088624e-01 3.870174374477156065e-02
-9.610243351509300425e+00 -7.277522573455503796e-01 -1.090275256997928766e-02
-9.652134968381805180e+00 -6.543484065611022693e-01 9.351572915536898734e-03
-9.649136237983512387e+00 -8.624569191911994892e-01 6.855858741484346930e-02
-9.706935143579649150e+00 -6.991952023244945025e-01 -3.309842520709906782e-02
-9.689877576615050003e+00 -5.795982198582061429e-01 2.216256046712236916e-01
-9.715323057999674106e+00 -5.010013504780523874e-01 -2.121268493851339865e-01
-9.676433391180307098e+00 -5.448940903858332518e-01 1.800525561310481470e-02
-9.662816278055691654e+00 -7.864613698760978266e-01 8.267767007957696479e-02
-9.602503208458482931e+00 -5.854405332948617868e-01 8.286945254578059750e-02
-9.679493829949111117e+00 -4.114182217129220831e-01 2.880088777993103713e-02
-9.619342621362488188e+00 -4.401758264201935944e-01 5.551048849414297326e-02
-9.704327560822548548e+00 -5.797053451571461125e-01 5.125806506117089323e-02
-9.677989928292468846e+00 -6.278583788937117660e-01 1.860987429211874988e-01
-9.620997798661312217e+00 -5.590960647905776071e-01 8.949728909799593846e-02
-9.706263130951658269e+00 -4.744657757445063240e-01 1.709176943193570913e-02
-9.690743800923870666e+00 -6.073944916854117082e-01 1.836735322173001228e-02
-9.665025973518464042e+00 -6.372438879950816926e-01 2.872185603254881481e-02
-9.712505835312686742e+00 -5.578531800815595965e-01 -4.722229769018307377e-02
-9.667748362251717964e+00 -5.569386918109882068e-01 -3.897785129417065397e-02
-9.602618863313574948e+00 -5.715416890421902707e-01 -8.714423064009672870e-02
-9.620535125277523747e+00 -4.972944016672915524e-01 -1.854312616740854958e-01
-9.637283151254793623e+00 -4.671509275539822426e-01 4.107841190837335094e-02
-9.657462074970121435e+00 -8.058091746217526108e-01 -6.890713662917893889e-03
-9.723687251855766434e+00 -3.383686421732834404e-01 1.380925353963838031e-01
-9.708257786941629774e+00 -4.552344852615926030e-01 3.554461085705496598e-02
-9.679984516556066509e+00 -5.245080242079116495e-01 7.154636487622588470e-02
-9.614930738364479978e+00 -4.165274429530576583e-01 -1.252993061868115099e-01
-9.693605354592206069e+00 -6.025603116170037410e-01 2.596924313722214217e-01
-9.689035385694614533e+00 -3.663151579813508363e-01 -8.417360974081224134e-02
-9.615241699986066592e+00 -5.436558929855257460e-01 6.982776507912272224e-02
-9.706083415454358487e+00 -5.246110857230963376e-01 3.085211740854201801e-02
-9.627546072230318330e+00 -5.761726447453430211e-01 2.181116820771249465e-01
-9.656195049547314113e+00 -4.474135057551489325e-01 -2.549291779079203568e-01
-9.681163839885615019e+00 -4.313941620173853408e-01 -2.438649753964019784e-01
-9.649416272737475708e+00 -4.891938508504649619e-01 1.429646824226258051e-01
-9.656953207290808194e+00 -5.242716645278040488e-01 1.051258449629215441e-01
-9.613668935609512189e+00 -6.507195837207961908e-01 -1.554529989789776162e-02
-9.647874275104927122e+00 -3.770509208807855117e-01 4.186516755619090757e-02
-9.589281100241278111e+00 -5.903100243744239251e-01 -1.854307922527828500e+00
-9.646195769519120944e+00 -3.392971720341950714e-01 -1.830071251701930468e-01
-9.704559563580536619e+00 -7.188476369409819711e-01 2.237070967393444409e-01
-9.635701984853119129e+00 -6.119101988475690312e-01 1.737704221360381052e-02
-9.653762017827157038e+00 -5.917523435294249623e-01 -1.505011637963173110e-02
-9.658632816862871451e+00 -6.762485072838124722e-01 3.555633694582186616e-02
-9.606317254065579903e+00 -6.255731818123222432e-01 -3.737664500336404516e-02
-9.581128708534937033e+00 -2.789196351758000958e-01 -1.222225496937969641e-01
-9.719397013930747065e+00 -6.085303648392526021e-01 -6.654011185270923556e-02
-9.718818112780583718e+00 -6.303207504187806620e-01 1.837965196325659634e-01
-9.704682529626275311e+00 -6.474282218555944546e-01 9.497086195436194034e-02
-9.666958830109370737e+00 -3.374105460887255603e-01 1.995912426554042329e-01
-9.639525325638208741e+00 -3.740009810267403978e-01 -4.282269486603118569e-01
-9.707865279408316894e+00 -6.241983969100033391e-01 1.503179931381862233e-02
-9.648526899996685557e+00 -5.372029223220735616e-01 3.052759643950778146e-02
-9.651344739106914261e+00 -2.634085410911284342e-01 4.339307027118309568e-02
-9.680222402817365790e+00 -4.171255636761657115e-01 7.319629893317471103e-02
-9.698586853781893780e+00 -8.234202280444886668e-01 -4.866461036626887338e-02
-9.655268899434259922e+00 -5.288817014637214875e-01 3.739143913154458626e-02
-9.670031043203909604e+00 -4.847955385752458213e-01 4.615893426643674635e-02
-9.657402631983430297e+00 -3.627555142648706266e-01 -4.269185302179251407e-02
-9.679478400334902588e+00 -2.764073132723048332e-01 1.394757363810419648e-01
-9.616693401894222504e+00 -6.736750785114207218e-01 -2.071998682711254092e-02
-9.665505391056232298e+00 -4.773823927300391290e-01 -4.186081764437241115e-02
